file,column,data_type,unit,description,source_note
nvda_quarterly_income_statement.csv,fiscal_quarter,string,,Period label e.g. FY2024 Q3,
nvda_quarterly_income_statement.csv,fiscal_year,integer,,NVIDIA fiscal year (ends ~late Jan),
nvda_quarterly_income_statement.csv,quarter_num,integer,1-4,Fiscal quarter number,
nvda_quarterly_income_statement.csv,period_start,date,YYYY-MM-DD,First day of fiscal quarter,
nvda_quarterly_income_statement.csv,period_end,date,YYYY-MM-DD,Last day of fiscal quarter,
nvda_quarterly_income_statement.csv,revenue_usdm,float,$M,Total net revenue,10-Q/10-K
nvda_quarterly_income_statement.csv,cost_of_revenue_usdm,float,$M,COGS incl. product & service costs,
nvda_quarterly_income_statement.csv,gross_profit_usdm,float,$M,Revenue minus COGS,
nvda_quarterly_income_statement.csv,gross_margin_pct,float,0.0-1.0,Gross profit / Revenue,
nvda_quarterly_income_statement.csv,rd_expense_usdm,float,$M,Research & Development,
nvda_quarterly_income_statement.csv,sga_expense_usdm,float,$M,Sales General & Administrative,
nvda_quarterly_income_statement.csv,total_opex_usdm,float,$M,R&D + SG&A,
nvda_quarterly_income_statement.csv,operating_income_usdm,float,$M,Gross Profit minus OpEx (GAAP),
nvda_quarterly_income_statement.csv,operating_margin_pct,float,0.0-1.0,Operating Income / Revenue,
nvda_quarterly_income_statement.csv,other_income_net_usdm,float,$M,"Interest income, FX, other items",
nvda_quarterly_income_statement.csv,pretax_income_usdm,float,$M,Op Income + Other Income,
nvda_quarterly_income_statement.csv,income_tax_usdm,float,$M,GAAP income tax provision,
nvda_quarterly_income_statement.csv,effective_tax_rate_pct,float,0.0-1.0,Tax / Pre-tax Income,
nvda_quarterly_income_statement.csv,net_income_usdm,float,$M,GAAP net income,
nvda_quarterly_income_statement.csv,net_margin_pct,float,0.0-1.0,Net Income / Revenue,
nvda_quarterly_income_statement.csv,free_cash_flow_proxy_usdm,float,$M,CFO + CapEx (from CF statement),
nvda_quarterly_income_statement.csv,source,string,,Filing type,
nvda_quarterly_income_statement.csv,q4_derived,string,Y/N,Y = Q4 derived as Annual minus Q1+Q2+Q3,
nvda_quarterly_balance_sheet.csv,total_assets_usdm,float,$M,Total assets at quarter end,
nvda_quarterly_balance_sheet.csv,total_equity_usdm,float,$M,Stockholders equity,
nvda_quarterly_balance_sheet.csv,long_term_debt_usdm,float,$M,Long-term debt obligations,
nvda_quarterly_balance_sheet.csv,current_ratio,float,x,Current Assets / Current Liabilities,
nvda_quarterly_balance_sheet.csv,debt_to_equity,float,x,(STD + LTD) / Equity,
nvda_quarterly_cash_flow.csv,cfo_net_cash_from_operations_usdm,float,$M,Operating cash flow,
nvda_quarterly_cash_flow.csv,capex_usdm,float,$M,Capital expenditures (negative = outflow),
nvda_quarterly_cash_flow.csv,free_cash_flow_usdm,float,$M,CFO + CapEx,
nvda_quarterly_cash_flow.csv,fcf_margin_pct,float,0.0-1.0,FCF / Revenue,
nvda_segment_revenue.csv,data_center_usdm,float,$M,Data Center incl. compute networking AI,10-K note / 10-Q
nvda_segment_revenue.csv,gaming_usdm,float,$M,GeForce consumer GPU + console,
nvda_segment_revenue.csv,professional_viz_usdm,float,$M,Quadro/RTX Pro workstation GPUs,
nvda_segment_revenue.csv,automotive_usdm,float,$M,DRIVE platform + infotainment SoCs,
nvda_segment_revenue.csv,oem_and_other_usdm,float,$M,OEM notebook GPU + crypto mining (CMP FY22-23),
nvda_segment_revenue.csv,q4_derived,string,Y/N,Q4 = Annual - Q1-Q2-Q3 segment totals,
