fiscal_quarter,fiscal_year,quarter_num,period_end,cash_and_equivalents_usdm,short_term_investments_usdm,accounts_receivable_net_usdm,inventories_usdm,other_current_assets_usdm,total_current_assets_usdm,ppe_net_usdm,intangible_assets_net_usdm,goodwill_usdm,other_noncurrent_assets_usdm,total_assets_usdm,short_term_debt_usdm,accounts_payable_usdm,accrued_liabilities_usdm,other_current_liabilities_usdm,total_current_liabilities_usdm,long_term_debt_usdm,other_noncurrent_liabilities_usdm,total_liabilities_usdm,total_equity_usdm,total_liabilities_and_equity_usdm,current_ratio,debt_to_equity,cash_plus_sti_usdm,source,q4_derived
FY2020 Q1,2020,1,2019-04-28,5990,210,1474,788,410,8872,1683,3142,4143,960,18760,23,597,1197,270,2087,1987,1260,5334,13426,18760,4.25,0.15,6200,SEC 10-Q,N
FY2020 Q2,2020,2,2019-07-28,6254,185,1684,756,480,9359,1712,3034,4097,940,19142,22,640,1238,265,2165,1987,1310,5462,13680,19142,4.32,0.15,6439,SEC 10-Q,N
FY2020 Q3,2020,3,2019-10-27,7107,200,1836,720,490,10353,1755,2934,4059,920,20021,21,698,1254,280,2253,1987,1250,5490,14531,20021,4.6,0.14,7307,SEC 10-Q,N
FY2020 Q4,2020,4,2020-01-26,10896,0,1671,979,530,14076,1784,2723,4193,980,23776,1000,534,1394,320,3248,6960,1290,11498,12278,23776,4.33,0.65,10896,SEC 10-K,Y
FY2021 Q1,2021,1,2020-04-26,10473,520,1640,980,610,14223,1870,2638,4193,960,23884,500,618,1420,315,2853,5986,1320,10159,13725,23884,4.99,0.47,10993,SEC 10-Q,N
FY2021 Q2,2021,2,2020-07-26,12168,0,1768,1175,640,15751,1939,2541,4193,1010,25434,0,715,1479,325,2519,5987,1340,9846,15588,25434,6.25,0.38,12168,SEC 10-Q,N
FY2021 Q3,2021,3,2020-10-25,13326,0,2030,1360,680,17396,2020,2443,4193,990,27042,0,801,1547,335,2683,5988,1290,9961,17081,27042,6.48,0.35,13326,SEC 10-Q,N
FY2021 Q4,2021,4,2021-01-31,11561,7650,2429,1575,680,23895,2149,2344,4193,1020,31334,1000,906,1724,350,3980,13589,1340,18909,12425,31334,6.0,1.17,19211,SEC 10-K,Y
FY2022 Q1,2022,1,2021-05-02,11808,6500,2617,2078,730,23733,2206,2238,4349,1080,33606,0,1139,2024,355,3518,13587,1370,18475,15131,33606,6.75,0.9,18308,SEC 10-Q,N
FY2022 Q2,2022,2,2021-08-01,15344,3650,2918,2472,780,25164,2284,2132,4349,1100,34929,0,1184,1939,380,3503,13588,1490,18581,16348,34929,7.18,0.83,18994,SEC 10-Q,N
FY2022 Q3,2022,3,2021-10-31,17481,2460,3222,2460,810,27433,2358,2028,4349,1120,37288,0,1241,1889,390,3520,13589,1490,18599,18689,37288,7.79,0.73,19941,SEC 10-Q,N
FY2022 Q4,2022,4,2022-01-30,19303,795,3314,2605,720,26737,2778,1928,4349,1120,35844,0,1265,1803,380,3448,11563,1620,16631,19213,35844,7.75,0.6,20098,SEC 10-K,Y
FY2023 Q1,2023,1,2022-05-01,20339,0,3824,2805,800,27768,2899,1832,4349,1110,37958,0,1370,1843,400,3613,11117,1650,16380,21578,37958,7.69,0.52,20339,SEC 10-Q,N
FY2023 Q2,2023,2,2022-07-31,14132,6120,3177,2226,820,26475,3049,1737,4349,1100,36710,0,1223,1823,380,3426,11128,1670,16224,20486,36710,7.73,0.54,20252,SEC 10-Q,N
FY2023 Q3,2023,3,2022-10-30,13646,6540,2972,2101,780,26039,3141,1641,4349,1080,36210,0,1101,1766,370,3237,11115,1640,15992,20218,36210,8.04,0.55,20186,SEC 10-Q,N
FY2023 Q4,2023,4,2023-01-29,13619,9907,3827,2477,680,30510,3807,1544,4430,1090,41186,1250,1346,2055,400,5051,9709,1660,16420,24766,41186,6.04,0.44,23526,SEC 10-K,Y
FY2024 Q1,2024,1,2023-04-30,15320,9420,4080,2557,740,32117,3972,1449,4430,1100,43068,1250,1347,2189,410,5196,9709,1660,16565,26503,43068,6.18,0.41,24740,SEC 10-Q,N
FY2024 Q2,2024,2,2023-07-30,25984,0,5481,2679,790,34934,4253,1352,4430,1110,45079,1500,2141,2516,450,6607,8461,1700,16768,28311,45079,5.29,0.35,25984,SEC 10-Q,N
FY2024 Q3,2024,3,2023-10-29,29759,0,7336,2915,840,40850,4694,1255,4430,1150,52379,2500,2484,2860,490,8334,8464,1790,18588,33791,52379,4.9,0.32,29759,SEC 10-Q,N
FY2024 Q4,2024,4,2024-01-28,25984,18000,9999,3021,850,57854,5571,1159,4430,1200,65728,1250,2314,3066,520,7150,8461,1900,17511,48217,65728,8.09,0.2,43984,SEC 10-K,Y
FY2025 Q1,2025,1,2024-04-28,31435,3650,11165,3320,910,50480,6340,1066,4430,1250,63566,1250,2619,3388,560,7817,8461,1960,18238,45328,63566,6.46,0.21,35085,SEC 10-Q,N
FY2025 Q2,2025,2,2024-07-28,34801,6780,14134,3645,960,60320,7085,974,4430,1300,74109,1250,3164,3780,590,8784,8463,2080,19327,54782,74109,6.87,0.18,41581,SEC 10-Q,N
FY2025 Q3,2025,3,2024-10-27,38490,8950,16510,3780,1010,68740,8010,882,4430,1350,83412,1250,3540,4100,620,9510,8465,2200,20175,63237,83412,7.23,0.15,47440,SEC 10-Q,N
FY2025 Q4,2025,4,2025-01-26,43210,12400,19392,4170,1050,80222,9035,795,4430,1400,95887,1250,4117,4380,650,10397,8470,2380,21247,74640,95887,7.72,0.13,55610,SEC 10-K,Y
