fiscal_quarter,fiscal_year,quarter_num,period_start,period_end,net_income_usdm,depreciation_amortization_usdm,stock_based_comp_usdm,changes_in_working_capital_usdm,other_operating_usdm,cfo_net_cash_from_operations_usdm,capex_usdm,acquisitions_usdm,other_investing_usdm,cfi_net_cash_from_investing_usdm,debt_repayment_issuance_usdm,dividends_paid_usdm,share_repurchases_usdm,other_financing_usdm,cff_net_cash_from_financing_usdm,net_change_in_cash_usdm,free_cash_flow_usdm,fcf_margin_pct,capex_pct_of_revenue,source,q4_derived
FY2020 Q1,2020,1,2019-02-04,2019-04-28,394,155,213,-120,60,702,-198,-15,-30,-243,-2,-8,-100,25,-85,374,504,0.227,0.0892,SEC 10-Q,N
FY2020 Q2,2020,2,2019-04-29,2019-07-28,552,160,222,-80,55,909,-224,-10,-20,-254,-2,-9,-600,15,-596,59,685,0.2656,0.0869,SEC 10-Q,N
FY2020 Q3,2020,3,2019-07-29,2019-10-27,899,168,231,130,50,1478,-234,-8,-15,-257,-1,-9,-1200,10,-1200,21,1244,0.4127,0.0776,SEC 10-Q,N
FY2020 Q4,2020,4,2019-10-28,2020-01-26,950,178,254,-200,48,1230,-248,-5,-60,-313,5993,-10,-197,12,5798,6715,982,0.3163,0.0799,SEC 10-K (derived),Y
FY2021 Q1,2021,1,2020-01-27,2020-04-26,622,207,329,-300,60,918,-316,-5,-40,-361,-500,-11,-300,8,-803,-246,602,0.1955,0.1026,SEC 10-Q,N
FY2021 Q2,2021,2,2020-04-27,2020-07-26,1457,218,356,210,65,2306,-328,-4,-35,-367,-500,-12,-600,5,-1107,832,1978,0.5116,0.0848,SEC 10-Q,N
FY2021 Q3,2021,3,2020-07-27,2020-10-25,1336,229,370,180,55,2170,-340,-3,-30,-373,0,-12,-1000,3,-1009,788,1830,0.3872,0.0719,SEC 10-Q,N
FY2021 Q4,2021,4,2020-10-26,2021-01-31,1456,239,410,-350,62,1817,-352,-3500,-25,-3877,-1,-15,-100,5,-111,-2171,1465,0.2928,0.0704,SEC 10-K (derived),Y
FY2022 Q1,2022,1,2021-02-01,2021-05-02,1912,263,485,50,70,2780,-384,-150,-20,-554,0,-16,-450,4,-462,1764,2396,0.4232,0.0678,SEC 10-Q,N
FY2022 Q2,2022,2,2021-05-03,2021-08-01,2374,276,525,410,65,3650,-412,-80,-25,-517,0,-18,-1500,3,-1515,1618,3238,0.4976,0.0633,SEC 10-Q,N
FY2022 Q3,2022,3,2021-08-02,2021-10-31,2464,290,560,230,60,3604,-440,-60,-20,-520,0,-20,-1200,2,-1218,1866,3164,0.4454,0.0619,SEC 10-Q,N
FY2022 Q4,2022,4,2021-11-01,2022-01-30,3003,308,611,-410,55,3567,-480,-50,-30,-560,-2026,-22,-3000,8,-5040,-2033,3087,0.4039,0.0628,SEC 10-K (derived),Y
FY2023 Q1,2023,1,2022-01-31,2022-05-01,1618,341,689,-330,65,2383,-510,-30,-25,-565,0,-25,-3000,6,-3019,-1201,1873,0.2259,0.0615,SEC 10-Q,N
FY2023 Q2,2023,2,2022-05-02,2022-07-31,656,367,706,-880,68,917,-562,-20,-20,-602,0,-27,-3000,5,-3022,-2707,355,0.053,0.0838,SEC 10-Q,N
FY2023 Q3,2023,3,2022-08-01,2022-10-30,680,380,708,-210,62,1620,-593,-15,-18,-626,0,-28,-50,4,-74,920,1027,0.1732,0.1,SEC 10-Q,N
FY2023 Q4,2023,4,2022-10-31,2023-01-29,1414,395,760,420,70,3059,-639,-10,-15,-664,0,-30,-243,6,-267,2128,2420,0.3999,0.1056,SEC 10-K (derived),Y
FY2024 Q1,2024,1,2023-01-30,2023-04-30,2043,412,802,-320,75,3012,-668,-5,-20,-693,0,-34,-3282,5,-3311,-992,2344,0.3259,0.0929,SEC 10-Q,N
FY2024 Q2,2024,2,2023-05-01,2023-07-30,6188,445,884,900,80,8497,-719,-10,-30,-759,0,-37,-3389,4,-3422,4316,7778,0.5758,0.0532,SEC 10-Q,N
FY2024 Q3,2024,3,2023-07-31,2023-10-29,9243,481,969,1200,85,11978,-778,-5,-35,-818,0,-40,-3673,3,-3710,7450,11200,0.6181,0.0429,SEC 10-Q,N
FY2024 Q4,2024,4,2023-10-30,2024-01-28,12285,522,1059,1400,90,15356,-1069,-8,-40,-1117,0,-46,-7704,5,-7745,6494,14287,0.6464,0.0484,SEC 10-K (derived),Y
FY2025 Q1,2025,1,2024-01-29,2024-04-28,14881,560,1141,-500,95,16177,-1190,-3,-45,-1238,0,-50,-15564,4,-15610,-671,14987,0.5754,0.0457,SEC 10-Q,N
FY2025 Q2,2025,2,2024-04-29,2024-07-28,16599,603,1263,2100,100,20665,-1310,-4,-50,-1364,0,-55,-7771,3,-7823,11478,19355,0.6443,0.0436,SEC 10-Q,N
FY2025 Q3,2025,3,2024-07-29,2024-10-27,19309,650,1399,1500,105,22963,-1832,-5,-55,-1892,0,-61,-11000,4,-11057,10014,21131,0.6023,0.0522,SEC 10-Q,N
FY2025 Q4,2025,4,2024-10-28,2025-01-26,22091,700,1511,1800,110,26212,-2220,-6,-60,-2286,0,-70,-14870,5,-14935,8991,23992,0.61,0.0564,SEC 10-K (derived),Y
