fiscal_quarter,fiscal_year,quarter_num,period_start,period_end,revenue_usdm,cost_of_revenue_usdm,gross_profit_usdm,gross_margin_pct,rd_expense_usdm,sga_expense_usdm,total_opex_usdm,operating_income_usdm,operating_margin_pct,other_income_net_usdm,pretax_income_usdm,income_tax_usdm,effective_tax_rate_pct,net_income_usdm,net_margin_pct,free_cash_flow_proxy_usdm,source,q4_derived
FY2020 Q1,2020,1,2019-02-04,2019-04-28,2220,1000,1220,0.5495,696,188,884,336,0.1514,28,364,23,0.0632,394,0.1775,504,SEC 10-Q,N
FY2020 Q2,2020,2,2019-04-29,2019-07-28,2579,1165,1414,0.5483,736,196,932,482,0.1869,30,512,50,0.0977,552,0.214,685,SEC 10-Q,N
FY2020 Q3,2020,3,2019-07-29,2019-10-27,3014,1273,1741,0.5776,793,196,989,752,0.2495,37,789,83,0.1052,899,0.2983,1244,SEC 10-Q,N
FY2020 Q4,2020,4,2019-10-28,2020-01-26,3105,1361,1744,0.5617,891,227,1118,626,0.2016,48,674,38,0.0564,950,0.306,982,SEC 10-K (derived: Annual - Q1-Q3),Y
FY2021 Q1,2021,1,2020-01-27,2020-04-26,3080,1253,1827,0.5932,1046,230,1276,551,0.1789,39,590,83,0.1407,622,0.2019,602,SEC 10-Q,N
FY2021 Q2,2021,2,2020-04-27,2020-07-26,3866,1526,2340,0.6053,1047,240,1287,1053,0.2724,35,1088,155,0.1425,1457,0.3769,1978,SEC 10-Q,N
FY2021 Q3,2021,3,2020-07-27,2020-10-25,4726,1821,2905,0.6147,1098,249,1347,1558,0.3297,31,1589,256,0.1611,1336,0.2827,1830,SEC 10-Q,N
FY2021 Q4,2021,4,2020-10-26,2021-01-31,5003,1910,3093,0.6182,1084,248,1332,1761,0.352,29,1790,241,0.1346,1456,0.291,1465,SEC 10-K (derived: Annual - Q1-Q3),Y
FY2022 Q1,2022,1,2021-02-01,2021-05-02,5661,2130,3531,0.6237,1227,277,1504,2027,0.3581,45,2072,261,0.126,1912,0.3377,2396,SEC 10-Q,N
FY2022 Q2,2022,2,2021-05-03,2021-08-01,6507,2399,4108,0.6313,1316,305,1621,2487,0.3822,52,2539,330,0.13,2374,0.3648,3238,SEC 10-Q,N
FY2022 Q3,2022,3,2021-08-02,2021-10-31,7103,2721,4382,0.6169,1398,327,1725,2657,0.3741,57,2714,349,0.1286,2464,0.3469,3164,SEC 10-Q,N
FY2022 Q4,2022,4,2021-11-01,2022-01-30,7643,2945,4698,0.6147,1446,335,1781,2917,0.3817,68,2985,321,0.1075,3003,0.3929,3087,SEC 10-K (derived: Annual - Q1-Q3),Y
FY2023 Q1,2023,1,2022-01-31,2022-05-01,8290,3256,5034,0.6072,1608,373,1981,3053,0.3683,55,3108,407,0.131,1618,0.1952,1873,SEC 10-Q,N
FY2023 Q2,2023,2,2022-05-02,2022-07-31,6704,3791,2913,0.4345,1794,370,2164,749,0.1117,59,808,172,0.2129,656,0.0979,355,SEC 10-Q,N
FY2023 Q3,2023,3,2022-08-01,2022-10-30,5931,2858,3073,0.5181,1945,369,2314,759,0.128,63,822,70,0.0852,680,0.1147,1027,SEC 10-Q,N
FY2023 Q4,2023,4,2022-10-31,2023-01-29,6051,2798,3253,0.5376,1951,393,2344,909,0.1502,68,977,108,0.1105,1414,0.2337,2420,SEC 10-K (derived: Annual - Q1-Q3),Y
FY2024 Q1,2024,1,2023-01-30,2023-04-30,7192,2544,4648,0.6463,1875,391,2266,2382,0.3312,98,2480,166,0.0669,2043,0.2841,2344,SEC 10-Q,N
FY2024 Q2,2024,2,2023-05-01,2023-07-30,13507,4045,9462,0.7005,2040,420,2460,7002,0.5184,181,7183,793,0.1104,6188,0.4581,7778,SEC 10-Q,N
FY2024 Q3,2024,3,2023-07-31,2023-10-29,18120,5145,12975,0.7161,2294,516,2810,10165,0.561,234,10399,1279,0.123,9243,0.5101,11200,SEC 10-Q,N
FY2024 Q4,2024,4,2023-10-30,2024-01-28,22103,6031,16072,0.7271,2490,562,3052,13020,0.5891,285,13305,1404,0.1055,12285,0.5558,14287,SEC 10-K (derived: Annual - Q1-Q3),Y
FY2025 Q1,2025,1,2024-01-29,2024-04-28,26044,7397,18647,0.716,2720,618,3338,15309,0.5878,339,15648,1904,0.1217,14881,0.5714,14987,SEC 10-Q,N
FY2025 Q2,2025,2,2024-04-29,2024-07-28,30040,8589,21451,0.7141,3090,708,3798,17653,0.5876,413,18066,2164,0.1198,16599,0.5526,19355,SEC 10-Q,N
FY2025 Q3,2025,3,2024-07-29,2024-10-27,35082,9962,25120,0.716,3240,750,3990,21130,0.6023,480,21610,2590,0.1199,19309,0.5504,21131,SEC 10-Q,N
FY2025 Q4,2025,4,2024-10-28,2025-01-26,39331,11018,28313,0.7199,3497,826,4323,23990,0.61,532,24522,2944,0.1201,22091,0.5617,23992,SEC 10-K (derived: Annual - Q1-Q3),Y
